API Number,Production Date,Oil(bbls),Gas(mcf),Water(bbls)
40 063 20230,5/31/21,187,28,5866
40 063 20230,4/30/21,196,29,6044
40 063 20230,3/31/21,197,30,5867
40 063 20230,2/28/21,197,30,6026
40 063 20230,1/31/21,185,0,5284
40 063 20230,12/31/20,202,0,5787
40 063 20230,11/30/20,202,0,5767
40 063 20230,10/31/20,199,0,5481
40 063 20230,9/30/20,228,0,5296
40 063 20230,8/31/20,150,0,3890
40 063 20230,7/31/20,191,0,4832
40 063 20230,6/30/20,216,0,4866
40 063 20230,5/31/20,185,0,4337
40 063 20230,4/30/20,200,0,4719
40 063 20230,3/31/20,275,0,4891
40 063 20230,2/29/20,228,0,4820
40 063 20230,1/31/20,173,0,3897
40 063 20230,12/31/19,213,0,4751
40 063 20230,11/30/19,234,0,4735
40 063 20230,10/31/19,263,0,4575
40 063 20230,9/30/19,224,0,4404
40 063 20230,8/31/19,218,0,4140
40 063 20230,7/31/19,225,0,4222
40 063 20230,6/30/19,218,0,4358
40 063 20230,5/31/19,224,0,4328
40 063 20230,4/30/19,231,0,4413
40 063 20230,3/31/19,223,0,4448
40 063 20230,2/28/19,240,0,4343
40 063 20230,1/31/19,222,0,4124
40 063 20230,12/31/18,278,0,4492
40 063 20230,11/30/18,260,0,4460
40 063 20230,10/31/18,239,0,4453
40 063 20230,9/30/18,257,0,4415
40 063 20230,8/31/18,242,0,4277
40 063 20230,7/31/18,272,,4514
40 063 20230,6/30/18,284,,4638
40 063 20230,5/31/18,227,0,3945
40 063 20230,4/30/18,182,0,3821
40 063 20230,3/31/18,275,0,4350
40 063 20230,2/28/18,272,0,4294
40 063 20230,1/31/18,263,,4028
40 063 20230,12/31/17,302,,
40 063 20230,11/30/17,297,,4372
40 063 20230,10/31/17,289,0,4245
40 063 20230,9/30/17,311,0,4493
40 063 20230,8/31/17,299,0,4369
40 063 20230,7/31/17,311,0,4637
40 063 20230,6/30/17,329,0,4739
40 063 20230,5/31/17,332,0,4614
40 063 20230,4/30/17,342,0,4600
40 063 20230,3/31/17,337,0,4480
40 063 20230,2/28/17,351,0,4765
40 063 20230,1/31/17,326,0,4319
40 063 20230,12/31/16,380,0,5361
40 063 20230,11/30/16,303,0,4418
40 063 20230,10/31/16,350,0,5208
40 063 20230,9/30/16,359,0,5173
40 063 20230,8/31/16,348,0,4818
40 063 20230,7/31/16,351,0,5147
40 063 20230,6/30/16,361,0,5139
40 063 20230,5/31/16,366,0,4997
40 063 20230,4/30/16,406,,5295
40 063 20230,3/31/16,383,,5083
40 063 20230,2/29/16,441,0,5371
40 063 20230,1/31/16,258,,3509
40 063 20230,12/31/15,395,0,4776
40 063 20230,11/30/15,380,0,5154
40 063 20230,10/31/15,327,0,3948
40 063 20230,9/30/15,420,0,5259
40 063 20230,8/31/15,436,0,5134
40 063 20230,7/31/15,479,0,5434
40 063 20230,6/30/15,486,0,5561
40 063 20230,5/31/15,409,0,5067
40 063 20230,4/30/15,114,0,580
40 063 20230,3/31/15,552,0,4838
40 063 20230,2/28/15,614,0,6430
40 063 20230,1/31/15,48,0,2487
40 063 20230,12/31/14,,,
40 063 20230,11/30/14,,,
40 063 20230,10/31/14,,,
40 063 20230,9/30/14,,,
40 063 20230,8/31/14,,,
40 063 20230,7/31/14,14,0,0
40 063 20230,6/30/14,342,0,3120
40 063 20230,5/31/14,350,0,3269
40 063 20230,4/30/14,397,0,3720
40 063 20230,3/31/14,357,0,3578
40 063 20230,2/28/14,388,0,3720
40 063 20230,1/31/14,324,0,3360
40 063 20230,12/31/13,375,0,3720
40 063 20230,11/30/13,425,0,3600
40 063 20230,10/31/13,419,0,3600
40 063 20230,9/30/13,439,0,3580
40 063 20230,8/31/13,438,0,3600
40 063 20230,7/31/13,450,0,3720
40 063 20230,6/30/13,481,0,3730
40 063 20230,5/31/13,393,0,2710
40 063 20230,4/30/13,473,0,120
40 063 20230,3/31/13,286,0,0
40 063 20230,2/28/13,523,0,0
40 063 20230,1/31/13,350,28,2788
40 063 20230,12/31/12,576,0,3197
40 063 20230,11/30/12,514,41,3236
40 063 20230,10/31/12,534,43,3486
40 063 20230,9/30/12,633,51,3912
40 063 20230,8/31/12,337,27,2837
40 063 20230,7/31/12,181,15,1824
40 063 20230,6/30/12,518,41,4285
40 063 20230,5/31/12,500,40,4152
40 063 20230,4/30/12,369,30,3021
40 063 20230,3/31/12,349,28,2885
40 063 20230,2/29/12,527,42,3886
40 063 20230,1/31/12,390,31,2992
40 063 20230,12/31/11,596,48,3786
40 063 20230,11/30/11,579,46,3670
40 063 20230,10/31/11,570,46,3390
40 063 20230,9/30/11,611,49,3325
40 063 20230,8/31/11,525,42,3130
40 063 20230,7/31/11,641,51,2987
40 063 20230,6/30/11,645,52,2551
40 063 20230,5/31/11,644,52,2520
40 063 20230,4/30/11,586,47,2381
40 063 20230,3/31/11,607,49,2427
40 063 20230,2/28/11,672,54,2579
40 063 20230,1/31/11,639,50,2407
40 063 20230,12/31/10,751,60,2662
40 063 20230,11/30/10,771,62,2715
40 063 20230,10/31/10,759,61,2589
40 063 20230,9/30/10,715,57,2214
40 063 20230,8/31/10,777,62,1504
40 063 20230,7/31/10,810,65,1880
40 063 20230,6/30/10,876,70,2073
40 063 20230,5/31/10,422,34,549
40 063 20230,4/30/10,463,37,1546
40 063 20230,3/31/10,706,56,2262
40 063 20230,2/28/10,780,62,2430
40 063 20230,1/31/10,706,57,2442
40 063 20230,12/31/09,598,48,2322
40 063 20230,11/30/09,746,60,2785
40 063 20230,10/31/09,551,44,2087
40 063 20230,9/30/09,734,59,2884
40 063 20230,8/31/09,682,55,2696
40 063 20230,7/31/09,687,55,2589
40 063 20230,6/30/09,688,55,2686
40 063 20230,5/31/09,671,54,2658
40 063 20230,4/30/09,694,56,2707
40 063 20230,3/31/09,548,44,2287
40 063 20230,2/28/09,599,48,2371
40 063 20230,1/31/09,616,49,2301
40 063 20230,12/31/08,718,57,2622
40 063 20230,11/30/08,632,51,2135
40 063 20230,10/31/08,448,36,2166
40 063 20230,9/30/08,939,75,2348
40 063 20230,8/31/08,692,55,2189
40 063 20230,7/31/08,695,56,2240
40 063 20230,6/30/08,705,56,2600
40 063 20230,5/31/08,657,53,2278
40 063 20230,4/30/08,265,21,1096
40 063 20230,3/31/08,668,53,2541
40 063 20230,2/29/08,692,55,2633
40 063 20230,1/31/08,665,53,2546
40 063 20230,12/31/07,355,28,1470
40 063 20230,11/30/07,646,52,2197
40 063 20230,10/31/07,586,47,1926
40 063 20230,9/30/07,607,49,1875
40 063 20230,8/31/07,566,45,1581
40 063 20230,7/31/07,572,46,1383
40 063 20230,6/30/07,500,40,1121
40 063 20230,5/31/07,460,37,1107
40 063 20230,4/30/07,440,35,1086
40 063 20230,3/31/07,396,32,1070
40 063 20230,2/28/07,396,32,1053
40 063 20230,1/31/07,330,26,889
40 063 20230,12/31/06,333,27,1046
40 063 20230,11/30/06,318,25,1014
40 063 20230,10/31/06,295,24,948
40 063 20230,9/30/06,304,24,980
40 063 20230,8/31/06,299,24,954
40 063 20230,7/31/06,329,34,1166
40 063 20230,6/30/06,335,27,1310
40 063 20230,5/31/06,359,29,1276
40 063 20230,4/30/06,506,40,1400
40 063 20230,3/31/06,457,37,1434
40 063 20230,2/28/06,562,45,1852
40 063 20230,1/31/06,,,
40 063 20230,12/31/05,257,21,800
40 063 20230,11/30/05,409,33,1238
40 063 20230,10/31/05,406,32,1200
40 063 20230,9/30/05,418,33,1240
40 063 20230,8/31/05,415,33,1200
40 063 20230,7/31/05,422,34,1234
40 063 20230,6/30/05,396,32,397
40 063 20230,5/31/05,357,29,1149
40 063 20230,4/30/05,363,29,1195
40 063 20230,3/31/05,333,27,1172
40 063 20230,2/28/05,342,27,1306
40 063 20230,1/31/05,349,28,1024
40 063 20230,12/31/04,370,30,1130
40 063 20230,11/30/04,350,28,1092
40 063 20230,10/31/04,346,28,1084
40 063 20230,9/30/04,364,29,1192
40 063 20230,8/31/04,346,28,1102
40 063 20230,7/31/04,335,27,1049
40 063 20230,6/30/04,366,29,1102
40 063 20230,5/31/04,374,30,1124
40 063 20230,4/30/04,362,29,1177
40 063 20230,3/31/04,355,28,1177
40 063 20230,2/29/04,377,30,1322
40 063 20230,1/31/04,349,28,1242
40 063 20230,12/31/03,359,29,1302
40 063 20230,11/30/03,377,30,1322
40 063 20230,10/31/03,344,28,1206
40 063 20230,9/30/03,362,29,1148
40 063 20230,8/31/03,356,28,361
40 063 20230,7/31/03,365,29,1312
40 063 20230,6/30/03,356,28,1314
40 063 20230,5/31/03,370,30,1183
40 063 20230,4/30/03,343,27,1148
40 063 20230,3/31/03,373,30,1105
40 063 20230,2/28/03,382,31,1222
40 063 20230,1/31/03,345,28,1201
40 063 20230,12/31/02,365,29,1281
40 063 20230,11/30/02,364,29,1235
40 063 20230,10/31/02,572,46,1192
40 063 20230,9/30/02,340,10,1286
40 063 20230,8/31/02,376,30,1233
40 063 20230,7/31/02,449,36,1239
40 063 20230,6/30/02,269,21,956
40 063 20230,5/31/02,259,21,1057
40 063 20230,4/30/02,390,31,1217
40 063 20230,3/31/02,379,30,1127
40 063 20230,2/28/02,397,32,1223
40 063 20230,1/31/02,324,26,1032
40 063 20230,12/31/01,379,30,1170
40 063 20230,11/30/01,368,29,1147
40 063 20230,10/31/01,342,27,1265
40 063 20230,9/30/01,376,30,1235
40 063 20230,8/31/01,348,28,1250
40 063 20230,7/31/01,361,29,1283
40 063 20230,6/30/01,374,30,1287
40 063 20230,5/31/01,355,28,1259
40 063 20230,4/30/01,370,30,1160
40 063 20230,3/31/01,370,30,1182
40 063 20230,2/28/01,371,29,1195
40 063 20230,1/31/01,334,27,1044
40 063 20230,12/31/00,388,31,1145
40 063 20230,11/30/00,349,28,1227
40 063 20230,10/31/00,357,29,1147
40 063 20230,9/30/00,372,30,1241
40 063 20230,8/31/00,358,29,1093
40 063 20230,7/31/00,363,29,1223
40 063 20230,6/30/00,297,24,891
40 063 20230,5/31/00,369,30,1234
40 063 20230,4/30/00,399,32,1147
40 063 20230,3/31/00,6362,29,1124
40 063 20230,2/29/00,365,29,1141
40 063 20230,1/31/00,357,29,1085
40 063 20230,12/31/99,381,30,1184
40 063 20230,11/30/99,423,34,1569
40 063 20230,10/31/99,359,29,1243
40 063 20230,9/30/99,317,25,1078
40 063 20230,8/31/99,365,29,1161
40 063 20230,7/31/99,377,30,1181
40 063 20230,6/30/99,385,31,1282
40 063 20230,5/31/99,366,29,1113
40 063 20230,4/30/99,385,31,1125
40 063 20230,3/31/99,353,28,1118
40 063 20230,2/28/99,418,33,1000
40 063 20230,1/31/99,325,26,1057
40 063 20230,12/31/98,395,32,1272
40 063 20230,11/30/98,420,34,1305
40 063 20230,10/31/98,390,31,1265
40 063 20230,9/30/98,413,33,1285
40 063 20230,8/31/98,394,32,1240
40 063 20230,7/31/98,398,32,1277
40 063 20230,6/30/98,409,33,1441
40 063 20230,5/31/98,396,32,1342
40 063 20230,4/30/98,410,33,1357
40 063 20230,3/31/98,410,33,1366
40 063 20230,2/28/98,423,34,1296
40 063 20230,1/31/98,386,31,1230
40 063 20230,12/31/97,429,34,1408
40 063 20230,11/30/97,438,35,1476
40 063 20230,10/31/97,408,33,1291
40 063 20230,9/30/97,433,35,1245
40 063 20230,8/31/97,415,33,1087
40 063 20230,7/31/97,421,34,1279
40 063 20230,6/30/97,435,35,1458
40 063 20230,5/31/97,415,33,1419
40 063 20230,4/30/97,435,35,1429
40 063 20230,3/31/97,437,35,1399
40 063 20230,2/28/97,506,40,1462
40 063 20230,1/31/97,497,40,1065
40 063 20230,12/31/96,153,12,338
40 063 20230,11/30/96,268,21,754
40 063 20230,10/31/96,299,24,975
40 063 20230,9/30/96,378,30,1145
40 063 20230,8/31/96,369,29,996
40 063 20230,7/31/96,405,32,1395
40 063 20230,6/30/96,396,32,1257
40 063 20230,5/31/96,348,28,987
40 063 20230,4/30/96,439,35,1103
40 063 20230,3/31/96,373,30,1014
40 063 20230,2/29/96,426,34,1270
40 063 20230,1/31/96,386,31,1143
40 063 20230,12/31/95,434,35,1304
40 063 20230,11/30/95,433,35,1385
40 063 20230,10/31/95,422,34,1306
40 063 20230,9/30/95,429,34,1435
40 063 20230,8/31/95,403,32,1221
40 063 20230,7/31/95,426,34,1208
40 063 20230,6/30/95,417,33,1373
40 063 20230,5/31/95,404,32,1462
40 063 20230,4/30/95,419,33,1357
40 063 20230,3/31/95,403,32,1113
40 063 20230,2/28/95,421,34,1244
40 063 20230,1/31/95,390,31,1052
40 063 20230,12/31/94,435,35,1225
40 063 20230,11/30/94,416,33,1195
40 063 20230,10/31/94,403,32,1170
40 063 20230,9/30/94,416,33,1226
40 063 20230,8/31/94,419,34,1369
40 063 20230,7/31/94,420,34,1463
40 063 20230,6/30/94,427,34,1400
40 063 20230,5/31/94,408,33,1345
40 063 20230,4/30/94,403,32,1186
40 063 20230,3/31/94,418,33,1172
40 063 20230,2/28/94,417,33,1206
40 063 20230,1/31/94,390,31,1048
40 063 20230,12/31/93,411,33,1153
40 063 20230,11/30/93,424,34,1138
40 063 20230,10/31/93,409,33,1100
40 063 20230,9/30/93,426,34,1139
40 063 20230,8/31/93,466,37,1182
40 063 20230,7/31/93,332,27,1040
40 063 20230,6/30/93,417,41,1019
40 063 20230,5/31/93,396,39,1108
40 063 20230,4/30/93,416,41,1181
40 063 20230,3/31/93,395,39,1203
40 063 20230,2/28/93,412,41,1149
40 063 20230,1/31/93,374,37,822
40 063 20230,12/31/92,416,41,973
40 063 20230,11/30/92,403,41,1138
40 063 20230,10/31/92,409,39,1133
40 063 20230,9/30/92,405,41,1187
40 063 20230,8/31/92,385,39,1242
40 063 20230,7/31/92,406,41,1228
40 063 20230,6/30/92,420,41,1193
40 063 20230,5/31/92,382,38,1138
40 063 20230,4/30/92,406,41,1168
40 063 20230,3/31/92,400,39,1060
40 063 20230,2/29/92,417,41,1121
40 063 20230,1/31/92,363,38,1266
40 063 20230,12/31/91,428,41,1172
40 063 20230,11/30/91,417,41,1136
40 063 20230,10/31/91,405,39,1216
40 063 20230,9/30/91,414,41,1806
40 063 20230,8/31/91,393,0,1182
40 063 20230,7/31/91,404,0,1160
40 063 20230,6/30/91,412,0,1178
40 063 20230,5/31/91,395,0,1140
40 063 20230,4/30/91,411,0,1178
40 063 20230,3/31/91,178,0,1140
40 063 20230,2/28/91,423,0,1178
40 063 20230,1/31/91,378,0,1064
40 063 20230,12/31/90,482,0,1178
40 063 20230,11/30/90,246,0,646
40 063 20230,10/31/90,271,0,874
40 063 20230,9/30/90,380,0,1178
40 063 20230,8/31/90,376,0,1140
40 063 20230,7/31/90,395,0,1178
40 063 20230,6/30/90,386,0,1178
40 063 20230,5/31/90,383,0,1140
40 063 20230,4/30/90,400,0,1213
40 063 20230,3/31/90,381,0,1290
40 063 20230,2/28/90,392,0,1333
40 063 20230,1/31/90,365,0,1204
40 063 20230,12/31/89,395,0,1333
40 063 20230,11/30/89,407,0,1333
40 063 20230,10/31/89,367,0,1290
40 063 20230,9/30/89,464,0,1333
40 063 20230,8/31/89,295,0,1075
40 063 20230,7/31/89,353,0,1290
40 063 20230,6/30/89,397,0,1333
40 063 20230,5/31/89,387,0,1290
40 063 20230,4/30/89,389,0,1333
40 063 20230,3/31/89,369,0,2100
40 063 20230,2/28/89,388,0,2170
40 063 20230,1/31/89,348,0,1960
40 063 20230,12/31/88,395,0,2170
40 063 20230,11/30/88,416,0,2170
40 063 20230,10/31/88,288,0,1680
40 063 20230,9/30/88,385,0,2100
40 063 20230,8/31/88,359,0,2100
40 063 20230,7/31/88,351,0,2170
40 063 20230,6/30/88,369,0,2170
40 063 20230,5/31/88,334,0,2100
40 063 20230,4/30/88,352,0,2170
40 063 20230,3/31/88,327,0,2100
40 063 20230,2/29/88,352,0,2170
40 063 20230,1/31/88,431,0,1110
40 063 20230,12/31/87,171,0,720
40 063 20230,11/30/87,260,0,1767
40 063 20230,10/31/87,260,0,74
40 063 20230,9/30/87,185,0,135
40 063 20230,8/31/87,190,0,135
40 063 20230,7/31/87,232,0,155
40 063 20230,6/30/87,240,0,155
40 063 20230,5/31/87,107,0,55
40 063 20230,4/30/87,248,0,155
40 063 20230,3/31/87,233,0,150
40 063 20230,2/28/87,227,0,125
40 063 20230,1/31/87,228,0,140
40 063 20230,12/31/86,248,0,155
40 063 20230,11/30/86,225,0,155
40 063 20230,10/31/86,232,0,150
40 063 20230,9/30/86,240,0,155
40 063 20230,8/31/86,197,0,150
40 063 20230,7/31/86,221,0,155
40 063 20230,6/30/86,204,0,155
40 063 20230,5/31/86,156,0,150
40 063 20230,4/30/86,215,0,155
40 063 20230,3/31/86,201,0,150
40 063 20230,2/28/86,278,0,155
40 063 20230,1/31/86,271,0,140
40 063 20230,12/31/85,306,0,145
40 063 20230,11/30/85,257,0,130
40 063 20230,10/31/85,320,0,150
40 063 20230,9/30/85,302,0,155
40 063 20230,8/31/85,305,0,150
40 063 20230,7/31/85,304,0,152
40 063 20230,6/30/85,302,0,155
40 063 20230,5/31/85,311,0,150
40 063 20230,4/30/85,302,0,155
40 063 20230,3/31/85,276,0,150
40 063 20230,2/28/85,357,0,155
40 063 20230,1/31/85,290,0,140
40 063 20230,12/31/84,326,0,163
40 063 20230,11/30/84,281,0,307
40 063 20230,10/31/84,201,0,132
40 063 20230,9/30/84,157,0,131
40 063 20230,8/31/84,167,0,80
40 063 20230,7/31/84,297,0,167
40 063 20230,6/30/84,315,0,155
40 063 20230,5/31/84,306,0,150
40 063 20230,4/30/84,332,0,155
40 063 20230,3/31/84,345,0,150
40 063 20230,2/29/84,304,0,155
40 063 20230,1/31/84,288,0,137
40 063 20230,12/31/83,309,0,75
40 063 20230,11/30/83,273,0,155
40 063 20230,10/31/83,297,0,142
40 063 20230,9/30/83,326,0,154
40 063 20230,8/31/83,311,0,150
40 063 20230,7/31/83,308,0,155
40 063 20230,6/30/83,337,0,155
40 063 20230,5/31/83,326,0,163
40 063 20230,4/30/83,275,0,130
40 063 20230,3/31/83,291,0,150
40 063 20230,2/28/83,340,0,155
40 063 20230,1/31/83,280,0,135
40 063 20230,12/31/82,313,0,155
40 063 20230,11/30/82,309,0,211
40 063 20230,10/31/82,295,0,149
40 063 20230,9/30/82,320,0,153
40 063 20230,8/31/82,279,0,146
40 063 20230,7/31/82,312,0,152
40 063 20230,6/30/82,325,0,155
40 063 20230,5/31/82,341,0,150
40 063 20230,4/30/82,307,0,275
40 063 20230,3/31/82,319,0,270
40 063 20230,2/28/82,379,0,270
40 063 20230,1/31/82,227,0,122
40 063 20230,12/31/81,313,0,155
40 063 20230,11/30/81,331,0,155
40 063 20230,10/31/81,326,0,150
40 063 20230,9/30/81,341,0,155
40 063 20230,8/31/81,334,0,254
40 063 20230,7/31/81,330,0,310
40 063 20230,6/30/81,342,0,305
40 063 20230,5/31/81,313,0,236
40 063 20230,4/30/81,345,0,439
40 063 20230,3/31/81,340,0,751
40 063 20230,2/28/81,351,0,1265
40 063 20230,1/31/81,361,0,1400
40 063 20230,12/31/80,288,0,1550
40 063 20230,11/30/80,294,0,1550
40 063 20230,10/31/80,287,0,1430
40 063 20230,9/30/80,277,0,1610
40 063 20230,8/31/80,260,0,1317
40 063 20230,7/31/80,159,0,1080
40 063 20230,6/30/80,108,0,1550
40 063 20230,5/31/80,16,0,611
40 063 20230,4/30/80,11,0,1495
40 063 20230,3/31/80,189,0,1126